# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
9521.0000 s1_M185 2000000 1 271.0000 sensor11.0 N0.10 295 N sensor11.0->N0.10
9522.0000 s1_M169 2000000 1 1072.0000 sensor11.0 N0.10 282 N sensor11.0->N0.10
9523.0000 s1_M184 2000000 1 323.0000 sensor11.0 N0.1 294 N sensor11.0->N0.1
9524.0000 s1_M189 2000000 1 74.0000 sensor11.0 N0.10 298 N sensor11.0->N0.10
9557.0000 s1_M191 2000000 1 7.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
9601.0000 s1_M192 2000000 1 1.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
9651.0000 s1_M193 2000000 1 1.0000 sensor11.0 N0.1 299 N sensor11.0->N0.1
9701.0000 s1_M194 2000000 1 1.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
9751.0000 s1_M195 2000000 1 1.0000 sensor11.0 N0.0 299 N sensor11.0->N0.0
9801.0000 s1_M196 2000000 1 1.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
9851.0000 s1_M197 2000000 1 1.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
9901.0000 s1_M198 2000000 1 1.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
9952.0000 s1_M199 2000000 1 2.0000 sensor11.0 N0.0 299 N sensor11.0->N0.0
10002.0000 s1_M200 2000000 1 2.0000 sensor11.0 N0.0 299 N sensor11.0->N0.0
10052.0000 s1_M201 2000000 1 2.0000 sensor11.0 N0.0 299 N sensor11.0->N0.0
10102.0000 s1_M202 2000000 1 2.0000 sensor11.0 N0.1 299 N sensor11.0->N0.1
10154.0000 s1_M203 2000000 1 4.0000 sensor11.0 N0.0 299 N sensor11.0->N0.0
10204.0000 s1_M204 2000000 1 4.0000 sensor11.0 N0.1 299 N sensor11.0->N0.1
10254.0000 s1_M205 2000000 1 4.0000 sensor11.0 N0.1 299 N sensor11.0->N0.1
10304.0000 s1_M206 2000000 1 4.0000 sensor11.0 N0.1 299 N sensor11.0->N0.1
10358.0000 s1_M207 2000000 1 8.0000 sensor11.0 N0.0 299 N sensor11.0->N0.0
10402.0000 s1_M208 2000000 1 2.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
10452.0000 s1_M209 2000000 1 2.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
10506.0000 s1_M210 2000000 1 6.0000 sensor11.0 N0.1 299 N sensor11.0->N0.1
10554.0000 s1_M211 2000000 1 4.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
10608.0000 s1_M212 2000000 1 8.0000 sensor11.0 N0.1 299 N sensor11.0->N0.1
10695.0000 s1_M213 2000000 2 45.0000 sensor11.0 N0.0 299 N sensor11.0->N0.10->N0.0
10722.0000 s1_M214 2000000 1 22.0000 sensor11.0 N0.1 299 N sensor11.0->N0.1
10775.0000 s1_M215 2000000 1 25.0000 sensor11.0 N0.1 299 N sensor11.0->N0.1
10809.0000 s1_M216 2000000 2 9.0000 sensor11.0 N0.1 299 N sensor11.0->N0.10->N0.1
10857.0000 s1_M217 2000000 2 7.0000 sensor11.0 N0.0 299 N sensor11.0->N0.10->N0.0
10907.0000 s1_M218 2000000 2 7.0000 sensor11.0 N0.0 299 N sensor11.0->N0.10->N0.0
10955.0000 s1_M219 2000000 1 5.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
11007.0000 s1_M220 2000000 2 7.0000 sensor11.0 N0.1 299 N sensor11.0->N0.10->N0.1
11057.0000 s1_M221 2000000 2 7.0000 sensor11.0 N0.1 299 N sensor11.0->N0.10->N0.1
11106.0000 s1_M222 2000000 1 6.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
11156.0000 s1_M223 2000000 1 6.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
11206.0000 s1_M224 2000000 1 6.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
11258.0000 s1_M225 2000000 2 8.0000 sensor11.0 N0.0 299 N sensor11.0->N0.10->N0.0
11308.0000 s1_M226 2000000 1 8.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
11360.0000 s1_M227 2000000 1 10.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
11415.0000 s1_M228 2000000 2 15.0000 sensor11.0 N0.0 299 N sensor11.0->N0.10->N0.0
11473.0000 s1_M229 2000000 1 23.0000 sensor11.0 N0.10 299 N sensor11.0->N0.10
12630.0000 s1_M234 2000000 1 930.0000 sensor10.0 N0.0 284 N sensor10.0->N0.0
13170.0000 s1_M250 2000000 1 670.0000 sensor10.0 N0.0 288 N sensor10.0->N0.0
13172.0000 s1_M251 2000000 1 622.0000 sensor10.0 N0.1 289 N sensor10.0->N0.1
13174.0000 s1_M257 2000000 1 324.0000 sensor10.0 N0.1 294 N sensor10.0->N0.1
13175.0000 s1_M247 2000000 1 825.0000 sensor10.0 N0.0 286 N sensor10.0->N0.0
13177.0000 s1_M240 2000000 1 1177.0000 sensor10.0 N0.1 280 N sensor10.0->N0.1
13178.0000 s1_M255 2000000 1 428.0000 sensor10.0 N0.0 292 N sensor10.0->N0.0
13180.0000 s1_M244 2000000 1 980.0000 sensor10.0 N0.1 283 N sensor10.0->N0.1
13182.0000 s1_M248 2000000 1 782.0000 sensor10.0 N0.1 286 N sensor10.0->N0.1
13183.0000 s1_M246 2000000 1 883.0000 sensor10.0 N0.0 285 N sensor10.0->N0.0
13184.0000 s1_M262 2000000 1 84.0000 sensor10.0 N0.0 298 N sensor10.0->N0.0
13186.0000 s1_M261 2000000 1 136.0000 sensor10.0 N0.1 297 N sensor10.0->N0.1
13187.0000 s1_M254 2000000 1 487.0000 sensor10.0 N0.0 291 N sensor10.0->N0.0
13188.0000 s1_M241 2000000 1 1138.0000 sensor10.0 N0.0 281 N sensor10.0->N0.0
13190.0000 s1_M239 2000000 1 1240.0000 sensor10.0 N0.1 279 N sensor10.0->N0.1
13192.0000 s1_M242 2000000 1 1092.0000 sensor10.0 N0.1 281 N sensor10.0->N0.1
13196.0000 s1_M263 2000000 1 46.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
13197.0000 s1_M260 2000000 1 197.0000 sensor10.0 N0.1 296 N sensor10.0->N0.1
13198.0000 s1_M258 2000000 1 298.0000 sensor10.0 N0.1 295 N sensor10.0->N0.1
13199.0000 s1_M249 2000000 1 749.0000 sensor10.0 N0.0 287 N sensor10.0->N0.0
13203.0000 s1_M253 2000000 1 553.0000 sensor10.0 N0.10 290 N sensor10.0->N0.10
13204.0000 s1_M252 2000000 1 604.0000 sensor10.0 N0.0 289 N sensor10.0->N0.0
13205.0000 s1_M259 2000000 1 255.0000 sensor10.0 N0.1 295 N sensor10.0->N0.1
13209.0000 s1_M245 2000000 1 959.0000 sensor10.0 N0.10 284 N sensor10.0->N0.10
13210.0000 s1_M256 2000000 1 410.0000 sensor10.0 N0.0 293 N sensor10.0->N0.0
13214.0000 s1_M243 2000000 1 1064.0000 sensor10.0 N0.10 282 N sensor10.0->N0.10
13215.0000 s1_M264 2000000 1 15.0000 sensor10.0 N0.1 299 N sensor10.0->N0.1
13251.0000 s1_M265 2000000 1 1.0000 sensor10.0 N0.0 299 N sensor10.0->N0.0
13301.0000 s1_M266 2000000 1 1.0000 sensor10.0 N0.0 299 N sensor10.0->N0.0
13351.0000 s1_M267 2000000 1 1.0000 sensor10.0 N0.0 299 N sensor10.0->N0.0
13402.0000 s1_M268 2000000 1 2.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
13452.0000 s1_M269 2000000 1 2.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
13501.0000 s1_M270 2000000 1 1.0000 sensor10.0 N0.1 299 N sensor10.0->N0.1
13551.0000 s1_M271 2000000 1 1.0000 sensor10.0 N0.0 299 N sensor10.0->N0.0
13601.0000 s1_M272 2000000 1 1.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
13651.0000 s1_M273 2000000 1 1.0000 sensor10.0 N0.0 299 N sensor10.0->N0.0
13701.0000 s1_M274 2000000 1 1.0000 sensor10.0 N0.1 299 N sensor10.0->N0.1
13751.0000 s1_M275 2000000 1 1.0000 sensor10.0 N0.1 299 N sensor10.0->N0.1
13801.0000 s1_M276 2000000 1 1.0000 sensor10.0 N0.1 299 N sensor10.0->N0.1
13851.0000 s1_M277 2000000 1 1.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
13901.0000 s1_M278 2000000 1 1.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
13951.0000 s1_M279 2000000 1 1.0000 sensor10.0 N0.1 299 N sensor10.0->N0.1
14001.0000 s1_M280 2000000 1 1.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
14051.0000 s1_M281 2000000 1 1.0000 sensor10.0 N0.0 299 N sensor10.0->N0.0
14101.0000 s1_M282 2000000 1 1.0000 sensor10.0 N0.0 299 N sensor10.0->N0.0
14151.0000 s1_M283 2000000 1 1.0000 sensor10.0 N0.0 299 N sensor10.0->N0.0
14202.0000 s1_M284 2000000 1 2.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
14251.0000 s1_M285 2000000 1 1.0000 sensor10.0 N0.1 299 N sensor10.0->N0.1
14301.0000 s1_M286 2000000 1 1.0000 sensor10.0 N0.1 299 N sensor10.0->N0.1
14352.0000 s1_M287 2000000 1 2.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
14404.0000 s1_M288 2000000 1 4.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
14455.0000 s1_M289 2000000 1 5.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
14502.0000 s1_M290 2000000 1 2.0000 sensor10.0 N0.1 299 N sensor10.0->N0.1
14558.0000 s1_M291 2000000 1 8.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
14611.0000 s1_M292 2000000 1 11.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
14676.0000 s1_M293 2000000 1 26.0000 sensor10.0 N0.10 299 N sensor10.0->N0.10
14708.0000 s1_M294 2000000 2 8.0000 sensor10.0 N0.0 299 N sensor10.0->N0.1->N0.0
14773.0000 s1_M295 2000000 2 23.0000 sensor10.0 N0.0 299 N sensor10.0->N0.1->N0.0
